ID,Count,area
kml_1,4,South-West
kml_2,2,South-West
kml_3,1,South-West
kml_4,1,South-West
kml_5,3,South-West
kml_6,1,South-West
kml_7,1,South-West
kml_8,1,South-West
kml_9,1,South-West
kml_10,2,South-West
kml_11,1,South-West
kml_12,1,South-West
kml_13,1,South-West
kml_14,1,South-West
kml_15,1,South-West
kml_16,2,South-West
kml_17,1,South-West
kml_18,1,South-West
kml_19,1,South-West
kml_20,1,South-West
kml_21,1,South-West
kml_22,1,South-West
kml_23,2,South-West
kml_24,3,South-West
kml_25,1,South-West
kml_26,2,South-West
kml_27,1,South-West
kml_28,1,South-West
kml_29,2,South-West
kml_30,4,South-West
kml_31,1,South-West
kml_32,1,South-West
kml_33,1,South-West
kml_34,1,South-West
kml_35,1,South-West
kml_36,1,South-West
kml_37,1,South-West
kml_38,1,South-West
kml_39,1,South-West
kml_40,1,South-West
kml_41,1,South-West
kml_42,1,South-West
kml_43,1,South-West
kml_44,1,South-West
kml_45,2,South-West
kml_46,1,South-West
kml_47,1,South-West
kml_48,1,South-West
kml_49,1,South-West
kml_50,1,South-West
kml_51,1,South-West
kml_52,1,South-West
kml_53,2,South-West
kml_54,1,South-West
kml_55,1,South-West
kml_56,1,South-West
kml_57,1,South-West
kml_58,1,South-West
kml_59,1,South-West
kml_60,2,South-West
kml_61,2,South-West
kml_62,2,South-West
kml_63,2,South-West
kml_64,2,South-West
kml_65,1,South-West
kml_66,4,South-West
kml_67,1,South-West
kml_68,1,South-West
kml_69,2,South-West
kml_70,1,South-West
kml_71,1,South-West
kml_72,1,South-West
kml_73,1,South-West
kml_74,1,South-West
kml_75,4,South-West
kml_76,1,South-West
kml_77,1,South-West
kml_78,1,South-West
kml_79,2,South-West
kml_80,1,South-West
kml_81,1,South-West
kml_82,1,South-West
kml_83,1,South-West
kml_84,1,South-West
kml_85,1,South-West
kml_86,2,South-West
kml_87,1,South-West
kml_88,1,South-West
kml_89,1,South-West
kml_90,1,South-West
kml_91,1,South-West
kml_92,3,South-West
kml_93,1,South-West
kml_94,1,South-West
kml_95,1,South-West
kml_96,2,South-West
kml_97,6,South-West
kml_98,1,South-West
kml_99,1,South-West
kml_100,1,South-West
kml_101,1,South-West
kml_102,2,South-West
kml_103,2,South-West
kml_104,1,South-West
kml_105,1,South-West
kml_106,3,South-West
kml_107,2,South-West
kml_108,3,South-West
kml_109,1,South-West
kml_110,1,South-West
kml_111,1,South-West
kml_112,1,South-West
kml_113,1,South-West
kml_114,1,South-West
kml_115,1,South-West
kml_116,1,South-West
kml_117,1,South-West
kml_118,1,South-West
kml_119,1,South-West
kml_120,1,South-West
kml_121,1,South-West
kml_122,1,South-West
kml_123,1,South-West
kml_124,1,South-West
kml_125,1,South-West
kml_126,1,South-West
